ID,country,governorate,edu_years,level_edu_ABIII,coledu,coledu_any,age,married,student,unemployed,agriman,lowstat,case
621,Algeria,Sidi Bel Abbes,0,1,0,0,60,1,0,0,0,0,0
623,Algeria,Sidi Bel Abbes,5,2,0,0,44,1,0,0,1,1,0
625,Algeria,Sidi Bel Abbes,15,6,0,1,24,0,1,0,0,0,0
627,Algeria,Sidi Bel Abbes,0,1,0,0,70,1,0,0,0,0,0
629,Algeria,Sidi Bel Abbes,12,4,0,0,29,0,0,0,1,1,0
631,Algeria,Sidi Bel Abbes,0,1,0,0,47,1,0,1,0,1,0
633,Algeria,Sidi Bel Abbes,12,4,0,0,18,0,0,1,0,1,0
635,Algeria,Sidi Bel Abbes,9,3,0,0,40,1,0,0,0,0,0
637,Algeria,Sidi Bel Abbes,14,5,0,0,35,0,0,0,0,0,0
639,Algeria,Sidi Bel Abbes,9,3,0,0,29,0,0,0,1,1,0
641,Algeria,Annaba,5,2,0,0,41,1,0,0,0,0,0
643,Algeria,Annaba,14,5,0,0,21,0,0,1,0,1,0
645,Algeria,Annaba,0,1,0,0,60,1,0,0,0,0,0
647,Algeria,Annaba,5,2,0,0,61,1,0,0,0,0,0
649,Algeria,Annaba,9,3,0,0,75,1,0,0,0,0,0
651,Algeria,Annaba,14,5,0,0,26,0,0,0,0,0,0
653,Algeria,Annaba,9,3,0,0,58,1,0,0,0,0,0
655,Algeria,Annaba,0,1,0,0,67,1,0,0,0,0,0
657,Algeria,Annaba,15,6,1,1,25,0,0,0,0,0,0
659,Algeria,Annaba,14,5,0,0,21,0,1,0,0,0,0
661,Algeria,Guelma,14,5,0,0,42,1,0,0,0,0,0
663,Algeria,Guelma,9,3,0,0,50,1,0,0,0,0,0
665,Algeria,Guelma,12,4,0,0,56,1,0,0,0,0,0
667,Algeria,Guelma,9,3,0,0,54,1,0,0,0,0,0
669,Algeria,Guelma,14,5,0,0,22,0,0,0,0,0,0
671,Algeria,Constantine,5,2,0,0,34,1,0,0,0,0,0
673,Algeria,Constantine,5,2,0,0,19,0,0,1,0,1,0
675,Algeria,Constantine,9,3,0,0,24,0,0,1,0,1,0
677,Algeria,Constantine,5,2,0,0,26,0,0,0,1,1,0
679,Algeria,Constantine,5,2,0,0,54,1,0,0,0,0,0
681,Algeria,Médéa,0,1,0,0,52,1,0,0,0,0,0
683,Algeria,Médéa,9,3,0,0,29,1,0,0,1,1,0
685,Algeria,Médéa,5,2,0,0,48,1,0,0,0,0,0
687,Algeria,Médéa,5,2,0,0,27,0,0,1,0,1,0
689,Algeria,Médéa,12,4,0,0,33,0,0,0,0,0,0
691,Algeria,Mostaganem,9,3,0,0,24,0,0,0,0,0,0
693,Algeria,Mostaganem,5,2,0,0,37,0,0,0,0,0,0
695,Algeria,Mostaganem,9,3,0,0,55,1,0,0,0,0,0
697,Algeria,Mostaganem,0,1,0,0,53,1,0,0,1,1,0
699,Algeria,Mostaganem,15,6,1,1,28,0,0,0,0,0,0
701,Algeria,M'Sila,9,3,0,0,22,0,0,1,0,1,0
703,Algeria,M'Sila,15,6,0,1,22,0,1,0,0,0,0
705,Algeria,M'Sila,14,5,0,0,31,1,0,0,,0,0
707,Algeria,M'Sila,12,4,0,0,34,0,0,0,0,0,0
709,Algeria,M'Sila,15,6,1,1,35,1,0,0,,0,0
711,Algeria,M'Sila,5,2,0,0,58,1,0,0,0,0,0
713,Algeria,M'Sila,5,2,0,0,62,1,0,0,0,0,0
715,Algeria,M'Sila,14,5,0,0,27,0,0,1,0,1,0
717,Algeria,M'Sila,15,6,1,1,25,0,0,0,0,0,0
719,Algeria,M'Sila,12,4,0,0,45,1,0,0,0,0,0
721,Algeria,M'Sila,5,2,0,0,44,1,0,0,0,0,0
723,Algeria,M'Sila,9,3,0,0,42,1,0,0,0,0,0
725,Algeria,M'Sila,0,1,0,0,70,0,0,0,0,0,0
727,Algeria,M'Sila,9,3,0,0,21,0,0,1,0,1,0
729,Algeria,M'Sila,15,6,1,1,52,1,0,0,0,0,0
731,Algeria,Mascara,14,5,0,0,43,1,0,0,,0,0
733,Algeria,Mascara,12,4,0,0,24,0,0,1,0,1,0
735,Algeria,Mascara,9,3,0,0,29,0,0,0,0,0,0
737,Algeria,Mascara,9,3,0,0,29,0,0,0,0,0,0
739,Algeria,Mascara,12,4,0,0,31,0,0,1,0,1,0
741,Algeria,Mascara,0,1,0,0,54,1,0,0,0,0,0
743,Algeria,Mascara,9,3,0,0,45,1,0,0,0,0,0
745,Algeria,Mascara,5,2,0,0,41,1,0,0,0,0,0
747,Algeria,Mascara,9,3,0,0,27,0,0,0,0,0,0
749,Algeria,Mascara,9,3,0,0,28,0,0,0,0,0,0
751,Algeria,Mascara,14,5,0,0,41,1,0,0,0,0,0
753,Algeria,Mascara,9,3,0,0,58,1,0,0,0,0,0
755,Algeria,Mascara,0,1,0,0,68,1,0,0,0,0,0
757,Algeria,Mascara,9,3,0,0,35,0,0,0,0,0,0
759,Algeria,Mascara,9,3,0,0,21,0,0,0,0,0,0
761,Algeria,Mascara,5,2,0,0,51,1,0,0,0,0,0
763,Algeria,Mascara,15,6,0,1,25,0,1,0,0,0,0
765,Algeria,Mascara,5,2,0,0,39,1,0,0,0,0,0
767,Algeria,Mascara,9,3,0,0,48,1,0,0,0,0,0
769,Algeria,Mascara,15,6,1,1,28,0,0,0,0,0,0
771,Algeria,Mascara,9,3,0,0,34,0,0,0,0,0,0
773,Algeria,Mascara,9,3,0,0,24,0,0,1,0,1,0
775,Algeria,Mascara,5,2,0,0,43,1,0,0,0,0,0
